spotid,desc
66dedc24efc0bac50c80870f,6030 6P3000101_Redutor Giro LD
66deddb07ed587e15a162186,6030 6P3000101_Redutor Giro LE
66dedf28ea40c41c2eef012b,6030 6P3000111_Redutor Giro LD
66dedf8945d1a4943a5c84c6,6030 6P3000111_Redutor Giro LE
668febb5b059577b39e5fa09,EM3401 Bomba Secção P1
668febb2a9700b05a71ca37d,EM3401 Bomba Secção P2
668ff6e6765a3c089d872db8,EM3401 Motor de Translação LD
668ff6e9a9700bbff21ca91c,EM3401 Motor de Translação LE
668ff96083c61336dd517c5d,EM3401 Cilindro Boom LD
66cf825924e3d86b465ec589,EM3401 Cilindro Boom LE
667ed1804d13425c5387a272,EM3401 Cilindro da Caçamba
668fe7e938e2532db463d8b6,EM3401 Rolamento Giro Frontal
668fe7eba9700bf2361ca195,EM3401 Rolamento Giro Traseiro
66ddd667ea40c41c2eee6f05,EM3401 Motor Redutor de Giro Dianteiro
66d70a35a6119ffc0cd30d32,EM3401 Motor Redutor de Giro Traseiro
668febadb05957ae16e5fa05,EM3401 Redutor de Giro Frontal
66ddda0b13eff3dbf760a767,EM3401 Redutor Giro Traseiro
